Company,Ticker,DATE,EPS_MEAN_EST,EPS_ACT,EPS_STD_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,ACT_RPT_CODE,SALES_ACT,SALES_MEAN_EST,SALES_AMT_DIFF_SURP,SALES_PCT_DIFF_SURP,SALES_STD_DEV_EST
Stryker Corp,SYK,10/22/15,1.23,1.25,0.01,2015,3,2015,3,AMC,2420,2444.76,-24.76,-1.012,21.45
SunTrust Banks Inc (GA),STI,10/16/15,0.83,1,0.02,2015,3,2015,3,BTO,2144,2026.433,-4.433,-0.218,34.874
Symantec Corp,SYMC,11/5/15,0.35,0.36,0.01,2016,2,2015,3,BTO,1498,1503.172,-5.172,-0.344,10.174
Synchrony Financial,SYF,10/16/15,0.66,0.69,0.01,2015,3,2015,3,BTO,3392,2993,110,3.675,76.367
Sysco Corp,SYY,11/2/15,0.52,0.52,0.02,2016,1,2015,3,BTO,12562.61,12540.433,22.177,0.176,79.299
T Rowe Price Group Inc,TROW,10/22/15,1.14,1.06,0.03,2015,3,2015,3,BTO,1049,1051.004,-2.004,-0.19,20.278
TE Connectivity Ltd.,TEL,10/28/15,0.93,0.9,0.01,2015,4,2015,3,BTO,2984,3104.033,-120.033,-3.867,3
TEGNA Inc,TGNA,10/20/15,0.36,0.37,0.03,2015,3,2015,3,BTO,807.086,827.336,-20.25,-2.447,18.758
TJX Cos Inc,TJX,11/17/15,0.84,0.86,0.02,2016,3,2015,4,BTO,7753.495,7677.991,75.504,0.983,125.324
Target Corp,TGT,11/18/15,0.86,0.86,0.03,2016,3,2015,4,BTO,17613,17631.934,-18.934,-0.107,68.625
Tenet Healthcare,THC,11/2/15,0.3,0.29,0.11,2015,3,2015,3,AMC,5063,4661.237,30.763,0.659,81.968
Teradata Corp,TDC,11/5/15,0.5,0.48,0.03,2015,3,2015,3,BTO,606,632.778,-26.778,-4.231,9.425
Tesoro Corp,TSO,10/28/15,6.05,6.48,0.29,2015,3,2015,3,AMC,7743,5579.4,2163.6,38.778,76.933
Texas Instruments Inc,TXN,10/21/15,0.67,0.76,0.01,2015,3,2015,3,AMC,3429,3278.153,150.847,4.601,13.77
Textron Inc,TXT,10/27/15,0.6,0.63,0.02,2015,3,2015,3,BTO,3180,3389.475,-209.475,-6.18,71.707
The ADT Corp.,ADT,11/10/15,0.48,0.51,0.01,2015,4,2015,3,AMC,899,907.833,-8.833,-0.972,6.337
The Bank of New York Mellon Corp,BK,10/20/15,0.71,0.74,0.02,2015,3,2015,3,BTO,3891,3849.2,-37.2,-0.966,53.7
The Kraft Heinz Company,KHC,11/5/15,0.59,0.44,0.06,2015,3,2015,3,AMC,6120,6095.507,24.493,0.401,1195.967
The Priceline Group Inc,PCLN,11/9/15,23.11,24.26,0.61,2015,3,2015,3,BTO,3102.901,3069.196,33.705,1.098,36.703
Thermo Fisher Scientific,TMO,10/21/15,1.79,1.8,0.03,2015,3,2015,3,BTO,4123.2,4097.085,26.115,0.637,23.236
Tiffany & Co,TIF,11/24/15,0.74,0.7,0.04,2016,3,2015,4,BTO,990.5,1006.253,-15.753,-1.565,13.461
Time Warner Cable Inc,TWC,10/29/15,1.55,1.62,0.13,2015,3,2015,3,BTO,5922,5952.05,-30.05,-0.504,28.408
Time Warner Inc,TWX,11/4/15,1.09,1.25,0.02,2015,3,2015,3,BTO,6564,6495.773,68.227,1.05,110.024
Torchmark Corp,TMK,10/26/15,1.06,1.08,0.01,2015,3,2015,3,AMC,998.759,1012.73,-19.111,-1.887,2.972
Total System Services Inc,TSS,10/27/15,0.57,0.6,0.03,2015,3,2015,3,AMC,707.89,673.42,34.47,5.118,15.641
Tractor Supply Co,TSCO,10/21/15,0.62,0.64,0.01,2015,3,2015,3,AMC,1475.645,1481.099,-5.454,-0.368,13.254
Transocean Ltd,RIG,11/4/15,0.67,0.87,0.05,2015,3,2015,3,AMC,1608,1588.066,19.934,1.255,51.771
Travelers Cos Inc,TRV,10/20/15,2.21,2.93,0.2,2015,3,2015,3,BTO,6794,6626.1,40.9,0.617,99.063
TripAdvisor Inc. A,TRIP,11/5/15,0.47,0.45,0.03,2015,3,2015,3,AMC,415,429.605,-14.605,-3.399,8.492
Twenty-First Century Fox Inc A,FOXA,11/4/15,0.37,0.38,0.02,2016,1,2015,3,BTO,6077,6463.898,-386.898,-5.985,228.417
Twenty-First Century Fox Inc B,FOX,11/4/15,0.38,0.38,0.03,2016,1,2015,3,BTO,6077,6668.8,-591.8,-8.874,0
Tyco Intl,TYC,11/13/15,0.61,0.61,0.01,2015,4,2015,3,BTO,2505,2536.4,-31.4,-1.237,8.905
Tyson Foods Inc A,TSN,11/23/15,0.9,0.83,0.03,2015,4,2015,3,BTO,10506,9772,734,7.511,0
US Bancorp,USB,10/15/15,0.81,0.81,0.01,2015,3,2015,3,BTO,5443,5121.375,-27.375,-0.534,31.681
Under Armour Inc A,UA,10/22/15,0.44,0.45,0.02,2015,3,2015,3,BTO,1204.109,1172.781,31.328,2.671,17.152
Union Pacific Corp,UNP,10/22/15,1.43,1.5,0.03,2015,3,2015,3,BTO,5562,5646.154,-84.154,-1.49,80.069
United Continental Holding Inc,UAL,10/22/15,4.49,4.53,0.21,2015,3,2015,3,BTO,10306,10270.325,35.675,0.347,112.655
United Parcel Service Inc B,UPS,10/27/15,1.37,1.39,0.02,2015,3,2015,3,BTO,14237,14352.894,-115.894,-0.807,58.795
United Rentals Inc,URI,10/21/15,2.35,2.57,0.11,2015,3,2015,3,AMC,1550,1558.4,-8.4,-0.539,8.504
United Technologies Corp,UTX,10/20/15,1.54,1.67,0.06,2015,3,2015,3,BTO,13788,14593,-805,-5.516,307.361
Unitedhealth Group Inc,UNH,10/15/15,1.64,1.65,0.03,2015,3,2015,3,BTO,41489,39908.057,1580.943,3.961,1266.778
Universal Health Services B,UHS,10/27/15,1.58,1.53,0.06,2015,3,2015,3,AMC,2227.655,2210.225,17.43,0.788,43.223
Unum Group,UNM,10/28/15,0.91,0.91,0.01,2015,3,2015,3,AMC,2657.8,2691.666,-7.266,-0.269,13.176
Urban Outfitters,URBN,11/16/15,0.42,0.42,0.02,2016,3,2015,4,AMC,825.258,870.945,-45.687,-5.245,7.67
VF Corp,VFC,10/23/15,1.12,1.07,0.02,2015,3,2015,3,BTO,3583.027,3671.318,-88.291,-2.404,20.517
Valero Energy Corp,VLO,10/28/15,2.64,2.79,0.13,2015,3,2015,3,BTO,22579,17113.17,5465.83,31.939,440.485
Varian Medical Systems Inc,VAR,10/28/15,1.07,1.04,0.05,2015,4,2015,3,AMC,817.8,823.633,-5.833,-0.708,4.764
Ventas Inc,VTR,10/23/15,1.06,1.09,0.05,2015,3,2015,3,BTO,827.606,902.071,-74.465,-8.254,0
Verisk Analytics Inc,VRSK,10/27/15,0.77,0.85,0.02,2015,3,2015,3,AMC,550.401,570.982,-20.581,-3.604,2.59
Verizon Communications Inc,VZ,10/20/15,1.02,1.04,0.03,2015,3,2015,3,BTO,33158,33003.304,154.696,0.468,327.854
Vertex Pharmaceuticals Inc,VRTX,10/28/15,-0.6,-0.4,0.1,2015,3,2015,3,AMC,309.816,231.321,78.495,33.933,28.696
Viacom Inc B,VIAB,11/12/15,1.52,1.54,0.03,2015,4,2015,3,BTO,3788,3932.575,-144.575,-3.676,89.245
Visa Inc A,V,11/2/15,0.62,0.62,0.03,2015,4,2015,3,BTO,3571,3557.58,13.42,0.377,38.86
Vornado Realty Trust,VNO,11/2/15,1.25,1.25,0.03,2015,3,2015,3,AMC,627.596,601.664,25.932,4.31,21.978
Vulcan Materials Co,VMC,11/3/15,0.95,0.95,0.03,2015,3,2015,3,BTO,1038.46,1003.875,34.585,3.445,19.444
WEC Energy Group Inc,WEC,11/4/15,0.59,0.61,0.03,2015,3,2015,3,BTO,1698.7,1520.65,178.05,11.708,689.216
Wal-Mart Stores,WMT,11/17/15,0.97,1.03,0.02,2016,3,2015,4,BTO,117408,117821.025,-413.025,-0.35,1168.784
Walgreens Boots Alliance Inc,WBA,10/28/15,0.81,0.88,0.03,2015,4,2015,3,BTO,28522,28855.726,-333.726,-1.156,669.374
Walt Disney Co,DIS,11/5/15,1.17,1.2,0.06,2015,4,2015,3,AMC,13512,13561.44,-49.44,-0.364,262.285
Waste Management Inc,WM,10/27/15,0.72,0.74,0.02,2015,3,2015,3,BTO,3360,3404.54,-44.54,-1.308,35.269
Waters Corp,WAT,10/27/15,1.39,1.42,0.01,2015,3,2015,3,BTO,500.578,492.782,7.796,1.582,6.49
Wells Fargo & Co,WFC,10/14/15,1.04,1.05,0.02,2015,3,2015,3,BTO,22863,21518.428,356.572,1.657,300.757
Welltower Inc,HCN,10/30/15,1.1,1.12,0.02,2015,3,2015,3,BTO,978.997,953.96,25.037,2.624,12.005
WestRock Co,WRK,11/4/15,0.93,0.93,0.06,2015,4,2015,3,AMC,3872.6,4049.953,-177.353,-4.379,102.962
Western Digital Corp,WDC,10/21/15,1.57,1.56,0.04,2016,1,2015,3,AMC,3400,3285.925,114.075,3.471,32.895
Western Union Co,WU,10/29/15,0.44,0.45,0.01,2015,3,2015,3,AMC,1399.2,1405.245,-6.045,-0.43,19.966
Weyerhaeuser Co,WY,10/30/15,0.27,0.35,0.04,2015,3,2015,3,BTO,1820,1795.666,24.334,1.355,9.814
Whirlpool Corp,WHR,10/23/15,3.22,3.45,0.24,2015,3,2015,3,BTO,5277,5319.5,-42.5,-0.798,362.745
